day,bucket,realized_makespan,GA,SBOA,dMShOA,dPSO,best_opt
2021-10-13,25,535.7166666666667,574.1383333333333,577.845,566.1616666666666,529.0316666666665,529.0316666666665
2021-10-18,15,513.15,437.3783333333334,443.495,464.42333333333335,478.77666666666664,437.3783333333334
2021-10-25,20,738.3833333333333,701.8733333333333,738.8816666666667,687.8933333333333,666.255,666.255
2021-11-02,20,664.9333333333333,705.39,731.8216666666666,747.74,699.87,699.87
2021-11-08,25,713.9333333333333,612.7283333333332,610.1016666666667,564.0766666666666,565.265,564.0766666666666
2021-11-10,30,665.8,650.42,648.4716666666666,637.1383333333333,569.1666666666666,569.1666666666666
2021-11-16,25,682.3666666666667,597.1933333333334,575.0833333333333,605.335,554.6116666666667,554.6116666666667
2021-11-24,30,697.3833333333333,518.6583333333333,518.755,488.8583333333333,495.13666666666666,488.8583333333333
2021-12-03,25,706.0666666666667,685.7016666666666,669.4383333333333,670.4966666666667,646.34,646.34
2021-12-10,20,590.9166666666666,484.9483333333334,507.06000000000006,531.8266666666666,474.68,474.68
2021-12-14,20,750.95,600.7683333333333,643.8933333333333,650.1683333333333,615.5716666666667,600.7683333333333
2021-12-15,25,765.7833333333333,522.7733333333333,531.5616666666667,545.5766666666666,534.3083333333333,522.7733333333333
2021-12-17,25,459.3,508.7133333333333,503.3366666666667,546.1883333333333,450.6833333333333,450.6833333333333
2021-12-20,15,620.3166666666667,500.2583333333334,488.26166666666666,502.81000000000006,468.16833333333335,468.16833333333335
2021-12-21,20,693.0,517.0933333333334,561.745,558.735,477.2666666666667,477.2666666666667
2021-12-27,15,542.15,411.13833333333343,396.0183333333333,418.4966666666667,396.0766666666667,396.0183333333333
2021-12-30,30,547.2333333333333,626.7816666666666,572.28,579.95,575.6916666666667,572.28
2022-01-05,25,665.3333333333334,637.105,646.1816666666666,627.5983333333334,588.27,588.27
2022-01-19,30,674.2333333333333,698.0899999999999,622.3866666666667,644.5833333333334,611.7816666666666,611.7816666666666
2022-03-09,20,607.0333333333333,511.4599999999999,528.1166666666667,534.6633333333333,492.5683333333333,492.5683333333333
2022-03-16,30,696.8,702.0666666666666,689.9233333333334,732.6566666666666,726.5633333333333,689.9233333333334
2022-04-07,30,695.0,682.3733333333332,601.2733333333333,638.8716666666667,623.1233333333333,601.2733333333333
2022-04-08,20,596.1833333333333,533.0350000000001,534.6683333333333,516.3066666666666,504.9633333333333,504.9633333333333
2022-04-13,30,554.05,650.245,634.3333333333333,636.155,598.7916666666666,598.7916666666666
2022-04-22,15,518.3333333333334,437.6616666666667,480.4316666666667,493.5216666666667,424.3383333333333,424.3383333333333
2022-05-03,25,515.7833333333333,503.1816666666667,529.3916666666667,544.2700000000001,463.84333333333336,463.84333333333336
2022-05-10,30,713.1166666666667,669.7616666666667,672.0816666666667,669.065,648.5766666666666,648.5766666666666
